Methods,X-axis,Y-axis
Importance,Cluster_0,0.065
Diversity,Cluster_0,0.375
Position,Cluster_0,0.27
Other,Cluster_0,0.29
Importance,Cluster_1,0.095
Diversity,Cluster_1,0.33
Position,Cluster_1,0.31
Other,Cluster_1,0.265
Importance,Cluster_2,0.16
Diversity,Cluster_2,0.17
Position,Cluster_2,0.36
Other,Cluster_2,0.31
Importance,Cluster_3,0.35
Diversity,Cluster_3,0.1
Position,Cluster_3,0.3
Other,Cluster_3,0.25
Importance,Cluster_4,0.33
Diversity,Cluster_4,0.1
Position,Cluster_4,0.32
Other,Cluster_4,0.25
